Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
007283       2    No     00002C04-00002C0A        7
00728B       2    No     00002C0B-00002C11        7
007296       2    No     00002C12-00002C18        7
0072B1       1    No     00002C19-00002C1E        6
0072D8       1    No     00002C1F-00002C24        6
007349       1    No     00002C25-00002C2A        6
0074C5       1    No     00002C2B-00002C30        6
0074FC       1    No     00002C31-00002C36        6
007525       4    No     00002C37-00002C3F        9
0075BD       1    No     00002C40-00002C45        6
0075F1       1    No     00002C46-00002C4B        6
0075FF       1    No     00002C4C-00002C51        6
007608       1    No     00002C52-00002C57        6
007620       2    No     00002C58-00002C5E        7
007637       2    No     00002C5F-00002C65        7
00766E       1    No     00002C66-00002C6B        6
007700       1    No     00002C6C-00002C71        6
007734       1    No     00002C72-00002C77        6
0077E0       1    No     00002C78-00002C7D        6
0078B0       B    No     00002C7E-00002C8D       10
0078C2       1    No     00002C8E-00002C93        6
0078DA       2    No     00002C94-00002C9A        7
0078F1       2    No     00002C9B-00002CA1        7
007904       8    No     00002CA2-00002CAE        D
007918       2    No     00002CAF-00002CB5        7
007925       1    No     00002CB6-00002CBB        6
00794E       4    No     00002CBC-00002CC4        9
007959       1    No     00002CC5-00002CCA        6
007977       5    No     00002CCB-00002CD4        A
007982       2    No     00002CD5-00002CDB        7
0079A6       2    No     00002CDC-00002CE2        7
0079AF       2    No     00002CE3-00002CE9        7
0079C6       7    No     00002CEA-00002CF5        C
0079DD       4    No     00002CF6-00002CFE        9
0079EB       1    No     00002CFF-00002D04        6
0079F3       2    No     00002D05-00002D0B        7
0079FC      13    No     00002D0C-00002D23       18
007A23       2    No     00002D24-00002D2A        7
007A2C       2    No     00002D2B-00002D31        7
007A43       7    No     00002D32-00002D3D        C
007A5A       4    No     00002D3E-00002D46        9
007A68       1    No     00002D47-00002D4C        6
007A70       2    No     00002D4D-00002D53        7
007A79      13    No     00002D54-00002D6B       18
007AA0       2    No     00002D6C-00002D72        7
007AA9       2    No     00002D73-00002D79        7
007AC1       1    No     00002D7A-00002D7F        6
007AC9       1    No     00002D80-00002D85        6
007ADB       2    No     00002D86-00002D8C        7
007AE4       4    No     00002D8D-00002D95        9
007AF0       1    No     00002D96-00002D9B        6
007B9B       1    No     00002D9C-00002DA1        6
007BB9       2    No     00002DA2-00002DA8        7
007BD1       1    No     00002DA9-00002DAE        6
007BEC       2    No     00002DAF-00002DB5        7
007C01       1    No     00002DB6-00002DBB        6
007C16       2    No     00002DBC-00002DC2        7
007C20       1    No     00002DC3-00002DC8        6
007C28       B    No     00002DC9-00002DD8       10
007C41       1    No     00002DD9-00002DDE        6
007C49      7F    No     00002DDF-00002E62       84
0090D2       4    No     00002E63-00002E6B        9
009101       1    No     00002E6C-00002E71        6
009B4C       1    No     00002E72-00002E77        6
009B6A       1    No     00002E78-00002E7D        6
009B91       8    No     00002E7E-00002E8A        D
00C03D       1    No     00002E8B-00002E90        6
00C048       2    No     00002E91-00002E97        7
00C35C       1    No     00002E98-00002E9D        6
00C471       1    No     00002E9E-00002EA3        6
00C4A6       1    No     00002EA4-00002EA9        6
00C4BF       1    No     00002EAA-00002EAF        6
00C54C       1    No     00002EB0-00002EB5        6
00C577       1    No     00002EB6-00002EBB        6
00C587       1    No     00002EBC-00002EC1        6
00C6F0       9    No     00002EC2-00002ECF        E
00C72C       B    No     00002ED0-00002EDF       10
00C73D       9    No     00002EE0-00002EED        E
00C755       1    No     00002EEE-00002EF3        6
00C788       1    No     00002EF4-00002EF9        6
00CDA2       8    No     00002EFA-00002F06        D
00CDB6       4    No     00002F07-00002F0F        9
00CDDE       1    No     00002F10-00002F15        6
00CDEA       2    No     00002F16-00002F1C        7
00CDF5       2    No     00002F1D-00002F23        7
00D5D2       1    No     00002F24-00002F29        6
00D60D      11    No     00002F2A-00002F3F       16
00D631       9    No     00002F40-00002F4D        E
00D641       3    No     00002F4E-00002F55        8
00D655       1    No     00002F56-00002F5B        6
00D65D       3    No     00002F5C-00002F63        8
00D66F       7    No     00002F64-00002F6F        C
00D67D       9    No     00002F70-00002F7D        E
00D68C       5    No     00002F7E-00002F87        A
00D6A5       1    No     00002F88-00002F8D        6
00D6B7       1    No     00002F8E-00002F93        6
00D6BF       8    No     00002F94-00002FA0        D
00D6CD       1    No     00002FA1-00002FA6        6
00D6FB       1    No     00002FA7-00002FAC        6
00D740       1    No     00002FAD-00002FB2        6
00D752       1    No     00002FB3-00002FB8        6
00D76B       1    No     00002FB9-00002FBE        6
00D783       1    No     00002FBF-00002FC4        6
00D7A1       1    No     00002FC5-00002FCA        6
00D7BE       1    No     00002FCB-00002FD0        6
00D7CD       1    No     00002FD1-00002FD6        6
00D7D6       1    No     00002FD7-00002FDC        6
00D808       2    No     00002FDD-00002FE3        7
00D823       1    No     00002FE4-00002FE9        6
00D894       1    No     00002FEA-00002FEF        6
00D8B8       6    No     00002FF0-00002FFA        B
00D8CC       1    No     00002FFB-00003000        6
00D8DA       1    No     00003001-00003006        6
00D8E4       2    No     00003007-0000300D        7
00D8F2       1    No     0000300E-00003013        6
00D903       2    No     00003014-0000301A        7
00D90B       1    No     0000301B-00003020        6
00D91B       2    No     00003021-00003027        7
00D923       2    No     00003028-0000302E        7
00D935       1    No     0000302F-00003034        6
00D96D       1    No     00003035-0000303A        6
00D975       1    No     0000303B-00003040        6
00D97C       1    No     00003041-00003046        6
00D987       7    No     00003047-00003052        C
00D994       4    No     00003053-0000305B        9
00D99F       4    No     0000305C-00003064        9
00D9AC       8    No     00003065-00003071        D
00D9BF       4    No     00003072-0000307A        9
